Loaded dataset with 291742 molecules from pretraining_data/drugs
epoch 002 step 00250/4559 (  5.5%) lr 3.16579e-05
epoch 002 step 00300/4559 (  6.6%) lr 3.2e-05
epoch 002 step 00350/4559 (  7.7%) lr 3.23158e-05
epoch 002 step 00400/4559 (  8.8%) lr 3.26579e-05
epoch 002 step 00450/4559 (  9.9%) lr 3.29737e-05
epoch 002 step 00500/4559 ( 11.0%) lr 3.33158e-05
epoch 002 step 00550/4559 ( 12.1%) lr 3.36316e-05
epoch 002 step 00600/4559 ( 13.2%) lr 3.39737e-05
epoch 002 step 00650/4559 ( 14.3%) lr 3.42895e-05
epoch 002 step 00700/4559 ( 15.4%) lr 3.46316e-05
epoch 002 step 00750/4559 ( 16.5%) lr 3.49474e-05
epoch 002 step 00800/4559 ( 17.5%) lr 3.52895e-05
epoch 002 step 00850/4559 ( 18.6%) lr 3.56053e-05
epoch 002 step 00900/4559 ( 19.7%) lr 3.59474e-05
epoch 002 step 00950/4559 ( 20.8%) lr 3.62632e-05
epoch 002 step 01000/4559 ( 21.9%) lr 3.66053e-05
epoch 002 step 01050/4559 ( 23.0%) lr 3.69211e-05
epoch 002 step 01100/4559 ( 24.1%) lr 3.72632e-05
epoch 002 step 01150/4559 ( 25.2%) lr 3.75789e-05
epoch 002 step 01200/4559 ( 26.3%) lr 3.79211e-05
epoch 002 step 01250/4559 ( 27.4%) lr 3.82368e-05
epoch 002 step 01300/4559 ( 28.5%) lr 3.85789e-05
epoch 002 step 01350/4559 ( 29.6%) lr 3.88947e-05
epoch 002 step 01400/4559 ( 30.7%) lr 3.92368e-05
epoch 002 step 01450/4559 ( 31.8%) lr 3.95526e-05
epoch 002 step 01500/4559 ( 32.9%) lr 3.98947e-05
epoch 002 step 01550/4559 ( 34.0%) lr 4.02105e-05
epoch 002 step 01600/4559 ( 35.1%) lr 4.05526e-05
epoch 002 step 01650/4559 ( 36.2%) lr 4.08684e-05
epoch 002 step 01700/4559 ( 37.3%) lr 4.12105e-05
epoch 002 step 01750/4559 ( 38.4%) lr 4.15263e-05
